cvegeo,nom_mun,nom_ent,poblacion_pob_001
"11029",San Diego de la Unión,Guanajuato,"39668.000000000000000"
"11030",San Felipe,Guanajuato,"113109.000000000000000"
"11031",San Francisco del Rincón,Guanajuato,"119510.000000000000000"
"11032",San José Iturbide,Guanajuato,"78794.000000000000000"
"05027",Ramos Arizpe,Coahuila de Zaragoza,"92828.000000000000000"
"13054",San Salvador,Hidalgo,"35547.000000000000000"
"13055",Santiago de Anaya,Hidalgo,"17032.000000000000000"
"13056",Santiago Tulantepec de Lugo Guerrero,Hidalgo,"37292.000000000000000"
"07025",Chapultenango,Chiapas,"7644.000000000000000"
"14096",Tizapán el Alto,Jalisco,"20961.000000000000000"
"07059",Ocosingo,Chiapas,"218893.000000000000000"
"30115",Nogales,Veracruz de Ignacio de la Llave,"37908.000000000000000"
"07061",Ocozocoautla de Espinosa,Chiapas,"92103.000000000000000"
"07062",Ostuacán,Chiapas,"18128.000000000000000"
"30118",Orizaba,Veracruz de Ignacio de la Llave,"126005.000000000000000"
"30119",Otatitlán,Veracruz de Ignacio de la Llave,"5703.000000000000000"
"07092",Tecpatán,Chiapas,"41305.000000000000000"
"08020",Chínipas,Chihuahua,"7501.000000000000000"
"08021",Delicias,Chihuahua,"148045.000000000000000"
"08022",Dr. Belisario Domínguez,Chihuahua,"2491.000000000000000"
"08023",Galeana,Chihuahua,"6021.000000000000000"
"08024",Santa Isabel,Chihuahua,"4099.000000000000000"
"08025",Gómez Farías,Chihuahua,"8905.000000000000000"
"08026",Gran Morelos,Chihuahua,"2466.000000000000000"
"08058",San Francisco de Conchos,Chihuahua,"2471.000000000000000"
"08059",San Francisco del Oro,Chihuahua,"5086.000000000000000"
"08061",Satevó,Chihuahua,"3159.000000000000000"
"08062",Saucillo,Chihuahua,"31196.000000000000000"
"08063",Temósachic,Chihuahua,"6425.000000000000000"
"08064",El Tule,Chihuahua,"1697.000000000000000"
"08065",Urique,Chihuahua,"20947.000000000000000"
"08066",Uruachi,Chihuahua,"6094.000000000000000"
"08067",Valle de Zaragoza,Chihuahua,"5199.000000000000000"
"10035",Tepehuanes,Durango,"11060.000000000000000"
"15102",Timilpan,México,"15664.000000000000000"
"15023",Coyotepec,México,"41810.000000000000000"
"15025",Chalco,México,"343701.000000000000000"
"15028",Chiautla,México,"29159.000000000000000"
"15029",Chicoloapan,México,"204107.000000000000000"
"15124",San José del Rincón,México,"93878.000000000000000"
"20093",San Andrés Lagunas,Oaxaca,"483.000000000000000"
"15054",Metepec,México,"227827.000000000000000"
"15099",Texcoco,México,"240749.000000000000000"
